transaction_id,customer_id,kyc_verified,account_age_days,transaction_amount,channel,timestamp,is_fraud
200073,747,Yes,520,71155,Mobile,2025-08-23 01:17:43+00:00,False
200074,709,Yes,2069,11108,POS,2025-08-05 01:24:00+00:00,False
200075,393,Yes,1562,11995,POS,2025-08-07 17:11:45+00:00,False
200076,565,Yes,1639,23769,Mobile,2025-08-25 16:23:23+00:00,False
200077,162,Yes,505,7286,Mobile,2025-08-09 23:27:39+00:00,False
200078,216,Yes,1854,7302,ATM,2025-08-20 07:06:27+00:00,False
200079,541,Yes,2737,5926,Mobile,2025-08-22 19:07:55+00:00,False
200080,660,Yes,790,4549,Mobile,2025-08-19 21:18:31+00:00,False
200081,575,Yes,817,9287,Mobile,2025-08-24 15:06:59+00:00,False
200082,413,Yes,982,11106,Mobile,2025-08-09 16:43:23+00:00,False
200083,458,Yes,1037,182977,Web,2025-08-12 20:54:55+00:00,True
200084,495,Yes,227,4506,POS,2025-08-15 17:53:40+00:00,False
200085,584,Yes,2175,6119,Web,2025-08-06 12:39:40+00:00,False
200086,105,Yes,2361,2431,POS,2025-08-14 05:04:59+00:00,False
200087,607,Yes,1164,7118,Mobile,2025-08-05 16:25:09+00:00,False
200088,779,Yes,1464,5805,Mobile,2025-08-25 06:05:00+00:00,False
200089,743,Yes,1653,17510,Mobile,2025-08-15 00:02:59+00:00,False
200090,217,No,12,7872,Mobile,2025-08-13 18:17:11+00:00,False
200091,540,Yes,1244,17962,Mobile,2025-08-01 14:46:42+00:00,False
200092,257,Yes,1376,2943,Mobile,2025-08-06 16:44:20+00:00,False
200093,658,Yes,2482,3275,Web,2025-08-09 08:45:11+00:00,False
200094,512,Yes,2945,15935,Mobile,2025-08-17 13:58:23+00:00,False
200095,251,Yes,392,3622,Web,2025-08-02 22:36:43+00:00,False
200096,771,Yes,1546,9152,Web,2025-08-12 14:52:09+00:00,False
200097,479,Yes,60,295368,Mobile,2025-08-14 16:22:58+00:00,False
200098,626,Yes,915,9755,Mobile,2025-08-14 03:55:39+00:00,False
200099,350,Yes,2300,8927,Web,2025-08-02 15:15:46+00:00,False
200100,341,Yes,2221,2975,Mobile,2025-08-04 02:38:16+00:00,False
200101,469,Yes,1494,9944,Mobile,2025-08-16 00:25:26+00:00,False
200102,376,Yes,1669,11256,POS,2025-08-07 11:31:14+00:00,False
200103,307,Yes,621,71680,POS,2025-08-04 12:24:09+00:00,False
200104,179,Yes,1407,9688,Web,2025-08-21 08:32:42+00:00,False
200105,391,No,219,31541,Mobile,2025-08-18 20:22:29+00:00,True
200106,137,Yes,670,10896,POS,2025-08-08 13:44:41+00:00,False
200107,321,Yes,2723,282778,Web,2025-08-15 22:17:26+00:00,False
200108,773,Yes,732,21880,ATM,2025-08-24 14:59:18+00:00,False
200109,354,Yes,570,7732,Mobile,2025-08-14 09:18:55+00:00,False
200110,691,No,2919,6016,Mobile,2025-08-11 05:36:07+00:00,False
200111,494,Yes,1771,17738,POS,2025-08-10 05:26:18+00:00,False
200112,782,Yes,1206,28044,ATM,2025-08-06 14:07:09+00:00,False
200113,491,Yes,2832,11674,Mobile,2025-08-10 01:32:00+00:00,False
200114,713,Yes,626,9692,ATM,2025-08-16 00:39:32+00:00,False
200115,467,Yes,535,181337,Web,2025-08-24 17:54:13+00:00,False
200116,445,Yes,2948,19526,Web,2025-08-18 16:01:18+00:00,False
200117,319,Yes,2237,9034,POS,2025-08-19 06:52:02+00:00,False
200118,290,Yes,71,5219,Web,2025-08-06 17:10:53+00:00,False
200119,106,Yes,1753,7301,Mobile,2025-08-06 22:18:23+00:00,False
200120,471,Yes,2102,8548,Mobile,2025-08-03 05:33:40+00:00,False
200121,446,No,1741,16998,Mobile,2025-08-15 12:51:39+00:00,True
200122,488,Yes,30,9454,POS,2025-08-19 17:01:06+00:00,False
200123,416,Yes,1044,5438,POS,2025-08-10 05:56:51+00:00,False
200124,676,Yes,1330,5265,Mobile,2025-08-16 23:05:05+00:00,False
200125,422,Yes,1120,14686,ATM,2025-08-05 02:30:55+00:00,False
200126,522,Yes,2439,211389,Web,2025-08-22 05:37:42+00:00,False
200127,637,Yes,2159,25541,POS,2025-08-08 06:17:33+00:00,False
200128,654,Yes,2691,17085,Mobile,2025-08-02 15:38:42+00:00,False
200129,455,Yes,1518,7095,POS,2025-08-09 07:12:09+00:00,False
200130,351,Yes,2036,11983,ATM,2025-08-23 18:12:32+00:00,False
200131,642,Yes,923,67492,Web,2025-08-04 07:44:20+00:00,False
200132,437,Yes,1344,5274,Mobile,2025-08-06 19:22:57+00:00,False
200133,695,Yes,1097,23975,Mobile,2025-08-13 23:29:09+00:00,False
200134,499,No,1330,7378,POS,2025-08-15 23:04:27+00:00,True
200135,234,Yes,1669,4855,Web,2025-08-11 10:53:59+00:00,False
200136,301,Yes,320,3636,Web,2025-08-21 04:41:42+00:00,False
200137,306,Yes,1793,15227,Web,2025-08-01 08:35:11+00:00,False
200138,227,Yes,224,14821,Mobile,2025-08-15 03:31:53+00:00,False
200139,689,Yes,1670,13969,POS,2025-08-12 03:10:45+00:00,False
200140,603,Yes,2080,9528,POS,2025-08-11 21:46:10+00:00,False
200141,712,Yes,1094,54692,Web,2025-08-16 19:57:21+00:00,False
200142,734,Yes,2766,250746,Web,2025-08-03 17:38:35+00:00,True
200143,402,Yes,1269,6238,Web,2025-08-15 08:18:48+00:00,False
200144,378,Yes,2230,5092,Web,2025-08-18 02:00:09+00:00,False
200145,464,No,2957,5803,POS,2025-08-20 07:01:59+00:00,False
200146,309,Yes,93,13251,Mobile,2025-08-14 08:33:15+00:00,False
200147,146,No,2038,13905,Mobile,2025-08-01 05:31:29+00:00,False
200148,615,Yes,779,220769,Mobile,2025-08-05 06:57:18+00:00,False
200149,440,Yes,1368,17004,Mobile,2025-08-19 18:02:14+00:00,False
200150,781,Yes,2964,4939,Mobile,2025-08-10 09:44:23+00:00,False
200151,225,Yes,1073,214332,Web,2025-08-18 03:59:21+00:00,False
200152,382,Yes,2707,15175,Mobile,2025-08-06 19:55:40+00:00,False
200153,507,Yes,1391,11856,POS,2025-08-16 21:17:00+00:00,False
200154,139,Yes,1870,9926,Mobile,2025-08-05 07:40:06+00:00,False
200155,327,Yes,861,6685,ATM,2025-08-02 12:04:53+00:00,False
200156,650,Yes,1212,14779,Web,2025-08-08 05:45:30+00:00,False
200157,398,Yes,2304,10358,Mobile,2025-08-21 06:59:58+00:00,False
200158,692,Yes,2235,16827,Mobile,2025-08-03 00:13:20+00:00,False
200159,393,Yes,712,6612,Web,2025-08-11 15:05:01+00:00,False
200160,316,Yes,791,8666,Mobile,2025-08-15 09:32:05+00:00,False
200161,165,Yes,1858,10606,Web,2025-08-05 21:14:49+00:00,False
200162,260,Yes,265,8062,Mobile,2025-08-10 20:12:20+00:00,False
200163,299,Yes,851,4667,POS,2025-08-20 03:01:47+00:00,False
200164,374,Yes,2603,88718,Mobile,2025-08-10 08:31:37+00:00,False
200165,323,Yes,2130,16228,Web,2025-08-14 02:32:53+00:00,False
200166,521,Yes,148,4178,Mobile,2025-08-03 11:46:04+00:00,False
200167,407,Yes,273,12568,Web,2025-08-18 06:45:45+00:00,False
200168,481,Yes,1954,16039,ATM,2025-08-23 18:49:53+00:00,False
200169,688,Yes,488,3275,Web,2025-08-17 16:10:54+00:00,False
200170,649,Yes,2435,57077,Mobile,2025-08-01 14:18:56+00:00,False
200171,514,Yes,816,238078,Mobile,2025-08-15 13:04:58+00:00,False
200172,557,Yes,2397,7353,Web,2025-08-05 19:22:34+00:00,False
200173,602,Yes,1490,6953,Mobile,2025-08-14 23:16:38+00:00,False
200174,128,Yes,201,22150,Web,2025-08-08 12:45:05+00:00,False
200175,382,No,518,15951,Mobile,2025-08-09 07:58:44+00:00,False
200176,225,Yes,296,6251,Mobile,2025-08-12 07:17:54+00:00,False
200177,125,Yes,2840,5391,ATM,2025-08-02 09:39:37+00:00,False
200178,193,Yes,647,44200,Mobile,2025-08-03 10:29:29+00:00,False
200179,745,Yes,1637,6924,POS,2025-08-16 21:51:53+00:00,False
200180,716,Yes,2813,2790,Mobile,2025-08-21 15:42:55+00:00,False
200181,354,Yes,2738,14044,Mobile,2025-08-11 15:23:14+00:00,False
200182,200,Yes,593,240547,Mobile,2025-08-11 07:09:02+00:00,False
200183,109,Yes,554,3622,Mobile,2025-08-12 00:06:42+00:00,False
200184,767,No,2919,4711,POS,2025-08-17 20:50:08+00:00,False
200185,283,Yes,1829,169114,Web,2025-08-12 12:43:15+00:00,False
200186,576,Yes,2187,8286,ATM,2025-08-19 14:11:40+00:00,False
200187,739,Yes,2242,12027,POS,2025-08-18 06:52:17+00:00,False
200188,544,Yes,992,16410,Web,2025-08-23 05:32:32+00:00,False
200189,707,Yes,2994,6519,Web,2025-08-12 02:31:31+00:00,False
200190,175,Yes,2746,208729,Mobile,2025-08-25 20:59:48+00:00,False
200191,243,Yes,302,5425,Mobile,2025-08-17 11:43:19+00:00,False
200192,480,Yes,1631,8735,POS,2025-08-19 13:23:45+00:00,False
200193,189,Yes,2008,4133,Mobile,2025-08-02 18:25:46+00:00,False
200194,654,Yes,2671,3488,Web,2025-08-11 07:05:08+00:00,False
200195,423,Yes,730,20389,ATM,2025-08-23 16:40:09+00:00,False
200196,102,Yes,507,15459,ATM,2025-08-18 09:01:15+00:00,False
200197,774,Yes,2556,11966,Mobile,2025-08-23 15:30:37+00:00,False
200198,609,Yes,2245,262690,Mobile,2025-08-05 13:36:16+00:00,False
200199,599,Yes,902,12215,ATM,2025-08-03 18:17:31+00:00,False
200200,439,Yes,455,283092,POS,2025-08-16 11:18:39+00:00,False
200201,345,No,746,20015,Mobile,2025-08-05 20:57:12+00:00,False
200202,706,Yes,2178,19922,Mobile,2025-08-20 10:01:36+00:00,False
200203,397,Yes,2296,8055,Mobile,2025-08-25 10:30:03+00:00,False
200204,459,Yes,2103,73151,Web,2025-08-02 08:58:54+00:00,False
200205,524,Yes,883,5040,Web,2025-08-18 04:32:00+00:00,False
200206,179,Yes,2257,249301,Web,2025-08-22 02:13:53+00:00,True
200207,325,Yes,1975,4534,Mobile,2025-08-25 15:56:52+00:00,False
200208,161,Yes,188,13177,Web,2025-08-21 08:15:16+00:00,False
200209,741,No,68,22083,Mobile,2025-08-07 04:29:44+00:00,False
200210,762,No,1250,8796,Web,2025-08-03 23:22:07+00:00,False
200211,216,Yes,2193,2264,Web,2025-08-17 23:25:05+00:00,False
200212,541,Yes,2198,5534,Web,2025-08-08 12:07:32+00:00,False
200213,184,Yes,2109,12034,Mobile,2025-08-23 09:21:15+00:00,False
200214,481,Yes,1628,7427,ATM,2025-08-20 17:39:20+00:00,False
200215,530,Yes,1505,124465,Mobile,2025-08-08 21:24:08+00:00,True
200216,483,Yes,890,13865,Mobile,2025-08-10 15:01:55+00:00,False
200217,364,No,932,4220,Mobile,2025-08-10 23:22:58+00:00,False
200218,342,Yes,356,191220,Mobile,2025-08-16 17:36:21+00:00,False
200219,794,Yes,152,45566,Mobile,2025-08-21 18:18:04+00:00,False
200220,693,Yes,1727,13894,Web,2025-08-18 08:11:12+00:00,False
200221,300,Yes,1437,5806,Mobile,2025-08-10 13:46:19+00:00,False
200222,786,Yes,29,296549,POS,2025-08-01 07:22:37+00:00,False
200223,257,Yes,558,6532,Web,2025-08-12 03:36:57+00:00,False
200224,596,Yes,46,4204,ATM,2025-08-14 14:01:21+00:00,False
200225,164,Yes,2992,4695,Mobile,2025-08-06 16:12:54+00:00,False
200226,172,Yes,1155,6670,POS,2025-08-22 18:36:42+00:00,False
200227,365,Yes,14,14864,Web,2025-08-22 08:49:05+00:00,False
200228,223,Yes,2119,4489,Mobile,2025-08-20 22:41:07+00:00,False
200229,358,Yes,2236,3500,Web,2025-08-06 17:51:59+00:00,False
200230,601,Yes,342,3125,Mobile,2025-08-11 09:00:48+00:00,False
200231,108,Yes,71,4529,POS,2025-08-14 08:11:58+00:00,False
200232,357,Yes,1963,15680,POS,2025-08-21 17:14:30+00:00,False
200233,149,Yes,2062,7791,Web,2025-08-13 20:17:12+00:00,False
200234,105,Yes,973,5225,Web,2025-08-11 11:29:55+00:00,False
200235,604,Yes,1018,8148,Web,2025-08-06 21:35:34+00:00,False
200236,216,Yes,752,284352,Web,2025-08-18 10:45:34+00:00,False
200237,227,Yes,1050,78086,Web,2025-08-12 00:51:06+00:00,False
200238,454,Yes,769,16129,ATM,2025-08-09 11:54:03+00:00,True
200239,371,Yes,2787,3086,POS,2025-08-11 16:51:01+00:00,False
200240,657,Yes,1582,2541,Mobile,2025-08-17 03:06:04+00:00,False
200241,680,Yes,359,4373,ATM,2025-08-16 11:42:54+00:00,False
200242,547,No,1356,12433,Web,2025-08-08 13:07:19+00:00,False
200243,183,No,840,14464,Mobile,2025-08-21 12:16:47+00:00,True
200244,709,Yes,2252,9562,Web,2025-08-04 01:23:36+00:00,False
200245,431,Yes,322,4200,POS,2025-08-16 08:21:15+00:00,False
200246,266,Yes,2269,5294,Web,2025-08-09 02:37:49+00:00,False
200247,341,Yes,888,10626,Mobile,2025-08-23 23:16:43+00:00,False
200248,737,No,1401,8931,POS,2025-08-20 09:26:28+00:00,True
200249,408,Yes,1316,41062,Web,2025-08-23 22:20:28+00:00,True
200250,632,Yes,1325,4028,POS,2025-08-08 17:11:17+00:00,False
200251,642,Yes,2892,203537,Web,2025-08-03 16:00:45+00:00,False
200252,691,Yes,265,7077,Web,2025-08-11 21:38:43+00:00,False
200253,700,Yes,1083,35048,POS,2025-08-15 01:12:04+00:00,False
200254,570,Yes,2211,29670,Web,2025-08-16 18:16:04+00:00,False
200255,657,Yes,724,19605,ATM,2025-08-19 12:22:06+00:00,False
200256,143,Yes,1211,283710,POS,2025-08-22 01:41:04+00:00,True
200257,784,Yes,1557,133139,Web,2025-08-20 03:49:00+00:00,False
200258,481,Yes,307,5735,POS,2025-08-20 09:02:48+00:00,False
200259,320,Yes,999,8114,Web,2025-08-14 05:07:25+00:00,False
200260,422,Yes,1428,6721,POS,2025-08-14 21:29:43+00:00,True
200261,476,Yes,2981,98866,Mobile,2025-08-09 22:08:39+00:00,False
200262,337,Yes,1865,201044,Mobile,2025-08-10 15:22:38+00:00,True
200263,498,Yes,2396,4332,Mobile,2025-08-16 00:39:21+00:00,False
200264,674,Yes,1425,7132,Mobile,2025-08-18 07:28:08+00:00,False
200265,207,Yes,2391,5954,Web,2025-08-12 16:09:59+00:00,False
200266,673,No,730,9313,Mobile,2025-08-25 11:58:43+00:00,False
200267,540,Yes,332,1225,POS,2025-08-15 08:47:38+00:00,False
200268,743,Yes,2320,285036,Mobile,2025-08-24 08:41:14+00:00,False
200269,335,No,1491,7987,Mobile,2025-08-15 05:45:30+00:00,False
200270,601,Yes,16,170914,Web,2025-08-14 18:45:37+00:00,False
200271,636,Yes,20,2355,Web,2025-08-24 23:00:53+00:00,False
200272,477,Yes,725,6845,Web,2025-08-15 13:17:39+00:00,False
200273,555,No,1040,10785,Web,2025-08-18 15:51:04+00:00,False
200274,223,Yes,203,15349,ATM,2025-08-17 08:56:55+00:00,False
200275,683,Yes,2652,259437,ATM,2025-08-16 17:37:22+00:00,False
200276,262,Yes,2789,233171,Mobile,2025-08-10 05:12:44+00:00,False
200277,464,Yes,2498,43848,Web,2025-08-15 00:33:35+00:00,False
200278,511,No,527,9241,Web,2025-08-21 22:37:04+00:00,True
200279,497,Yes,2724,4827,Mobile,2025-08-11 01:24:01+00:00,False
200280,518,Yes,1567,5874,ATM,2025-08-11 20:31:54+00:00,False
200281,491,Yes,2175,294174,POS,2025-08-18 06:59:17+00:00,False
200282,424,Yes,1666,9519,Web,2025-08-03 08:59:33+00:00,False
200283,522,No,1815,8660,Web,2025-08-05 20:41:44+00:00,False
200284,736,Yes,2856,280221,POS,2025-08-09 16:17:38+00:00,False
200285,558,Yes,96,24488,Mobile,2025-08-21 07:31:21+00:00,False
200286,649,Yes,2004,7599,Web,2025-08-08 04:29:20+00:00,False
200287,478,Yes,2054,54564,Web,2025-08-08 10:21:58+00:00,False
200288,319,No,2477,177836,Mobile,2025-08-02 10:01:35+00:00,True
200289,787,No,2537,26653,Mobile,2025-08-19 08:23:11+00:00,False
200290,255,Yes,465,12730,POS,2025-08-17 23:49:55+00:00,False
200291,547,Yes,2418,5839,Mobile,2025-08-14 18:28:00+00:00,False
200292,477,Yes,2223,5772,Mobile,2025-08-03 15:01:57+00:00,False
200293,257,No,2908,6948,Mobile,2025-08-01 19:56:40+00:00,True
200294,370,Yes,943,225017,Web,2025-08-07 16:13:32+00:00,True
200295,642,Yes,2823,7759,POS,2025-08-19 02:24:09+00:00,False
200296,353,Yes,1922,6861,Mobile,2025-08-15 23:52:59+00:00,False
200297,367,Yes,72,6492,Mobile,2025-08-24 01:53:22+00:00,False
200298,157,Yes,1542,12765,Mobile,2025-08-04 20:29:47+00:00,False
200299,622,No,2938,8979,Mobile,2025-08-01 16:48:54+00:00,False
200300,547,Yes,563,85887,Web,2025-08-19 16:02:45+00:00,False
200301,705,Yes,104,3740,Mobile,2025-08-03 22:19:29+00:00,False
200302,686,No,159,7439,Web,2025-08-05 14:57:32+00:00,True
200303,442,Yes,2868,10162,Mobile,2025-08-13 17:50:54+00:00,False
200304,462,Yes,1326,2983,POS,2025-08-14 10:14:27+00:00,False
200305,131,Yes,2285,7438,Mobile,2025-08-13 04:03:56+00:00,False
200306,784,Yes,196,12112,Mobile,2025-08-01 13:37:10+00:00,False
200307,106,Yes,2737,2967,Web,2025-08-06 13:59:30+00:00,False
200308,425,Yes,2689,20628,Mobile,2025-08-16 09:05:12+00:00,False
200309,743,Yes,1611,15559,Web,2025-08-13 13:18:05+00:00,True
200310,482,Yes,1290,39055,Mobile,2025-08-16 15:16:43+00:00,False
200311,505,Yes,1219,9470,Web,2025-08-07 00:13:50+00:00,False
200312,496,Yes,2177,5239,Mobile,2025-08-22 13:35:51+00:00,False
200313,497,Yes,684,6309,Mobile,2025-08-23 15:35:46+00:00,False
200314,356,No,1915,39633,Web,2025-08-16 04:24:29+00:00,False
200315,219,Yes,632,8315,Mobile,2025-08-25 12:10:08+00:00,False
200316,685,No,2608,6858,Web,2025-08-11 14:18:25+00:00,True
200317,497,No,484,15458,Web,2025-08-18 07:55:52+00:00,True
200318,171,Yes,2009,19776,Web,2025-08-17 21:12:01+00:00,False
200319,446,No,2894,13371,Mobile,2025-08-13 05:23:43+00:00,True
200320,791,Yes,1481,7384,POS,2025-08-03 15:50:05+00:00,False
200321,189,Yes,2796,4618,ATM,2025-08-25 13:19:38+00:00,False
200322,706,Yes,697,3336,Mobile,2025-08-08 04:35:20+00:00,False
200323,276,Yes,526,7614,Web,2025-08-24 23:09:15+00:00,False
200324,716,Yes,2410,291854,Mobile,2025-08-19 12:13:59+00:00,False
200325,123,Yes,2138,3567,Mobile,2025-08-03 01:30:24+00:00,False
200326,588,Yes,2420,5845,POS,2025-08-23 08:21:16+00:00,False
200327,402,Yes,2921,9302,ATM,2025-08-17 06:31:31+00:00,False
200328,135,Yes,2609,191216,Web,2025-08-08 22:36:01+00:00,False
200329,469,Yes,157,4865,Web,2025-08-08 06:05:54+00:00,False
200330,440,No,2759,7886,Web,2025-08-22 09:52:40+00:00,True
200331,596,Yes,2246,12979,Web,2025-08-20 12:10:58+00:00,False
200332,713,Yes,832,1113,Mobile,2025-08-07 02:25:17+00:00,False
200333,576,Yes,1276,5942,POS,2025-08-09 15:47:43+00:00,False
200334,609,Yes,2065,11225,Mobile,2025-08-15 09:58:59+00:00,False
200335,195,Yes,2742,214496,Web,2025-08-24 17:22:31+00:00,True
200336,470,Yes,2525,18084,Mobile,2025-08-20 17:33:01+00:00,False
200337,608,Yes,1345,56855,ATM,2025-08-24 00:07:46+00:00,True
200338,232,Yes,440,203633,POS,2025-08-13 04:40:15+00:00,True
200339,650,No,1529,5296,Mobile,2025-08-15 11:28:04+00:00,False
200340,180,Yes,400,11365,Mobile,2025-08-22 18:58:45+00:00,False
200341,710,Yes,1768,9795,Web,2025-08-13 09:59:50+00:00,False
200342,521,Yes,298,1785,Web,2025-08-24 12:39:15+00:00,False
200343,197,No,712,10485,Web,2025-08-14 12:09:06+00:00,False
200344,398,Yes,563,30229,Web,2025-08-24 11:02:40+00:00,False
200345,552,Yes,1679,2947,Mobile,2025-08-10 15:35:46+00:00,False
200346,371,Yes,1917,4947,Mobile,2025-08-15 02:44:13+00:00,False
200347,502,Yes,2375,6779,Web,2025-08-22 01:38:20+00:00,False
200348,129,Yes,1302,11742,ATM,2025-08-02 17:40:51+00:00,False
200349,576,Yes,825,166955,POS,2025-08-25 05:56:37+00:00,True
200350,559,Yes,473,10602,Mobile,2025-08-02 02:35:20+00:00,False
200351,168,Yes,951,7661,Mobile,2025-08-20 21:50:02+00:00,False
200352,479,Yes,2395,5515,Web,2025-08-16 18:59:40+00:00,False
200353,596,Yes,2124,130282,POS,2025-08-05 15:51:52+00:00,False
200354,263,No,1273,13017,Mobile,2025-08-14 11:44:45+00:00,False
200355,306,No,2497,7459,ATM,2025-08-25 14:57:53+00:00,True
200356,588,Yes,2528,4396,ATM,2025-08-13 18:46:43+00:00,False
200357,448,Yes,178,122854,Mobile,2025-08-14 10:58:07+00:00,True
200358,622,Yes,2575,238050,Mobile,2025-08-05 22:23:17+00:00,True
200359,152,Yes,1961,4869,Web,2025-08-03 07:30:13+00:00,False
200360,438,No,1854,14924,Mobile,2025-08-08 12:59:31+00:00,False
200361,242,Yes,155,4607,Web,2025-08-22 02:47:10+00:00,False
200362,430,Yes,330,9028,Web,2025-08-04 04:03:17+00:00,False
200363,225,Yes,1154,4117,Web,2025-08-08 20:14:47+00:00,False
200364,775,Yes,2508,6157,Web,2025-08-07 10:00:33+00:00,False
200365,157,Yes,2841,9099,Mobile,2025-08-20 07:26:58+00:00,False
200366,663,Yes,2990,11981,Mobile,2025-08-05 20:14:15+00:00,False
200367,134,Yes,422,8919,Mobile,2025-08-14 21:37:00+00:00,False
200368,591,No,2713,3283,Web,2025-08-04 11:02:27+00:00,False
200369,743,No,361,8879,POS,2025-08-21 13:40:02+00:00,True
200370,309,Yes,2463,27169,Mobile,2025-08-15 07:14:33+00:00,False
200371,611,Yes,1278,5826,Mobile,2025-08-20 23:27:05+00:00,False
